model,date,k,actual_fraction,top_precision,bottom_precision,top_mean_return_decimal,bottom_mean_return_decimal,long_short_return_decimal,top_mean_absolute_rank_error,bottom_mean_absolute_rank_error
TabPFN,2022-05-20 09:30:00,10,0.02457002457002457,0.0,0.0,-0.0007640497929951682,0.01201029646994993,-0.012774346262945099,0.5393120393120394,0.6095823095823095
TabPFN,2022-05-20 09:30:00,20,0.04914004914004914,0.15,0.0,-2.0363536404336552e-05,0.0048296587555481316,-0.004850022291952468,0.5185503685503686,0.5212530712530714
TabPFN,2022-05-20 09:30:00,40,0.09828009828009827,0.15,0.1,-0.002283629641114643,0.007170363988451339,-0.009453993629565982,0.5251842751842751,0.5165847665847666
TabPFN,2022-05-23 09:30:00,10,0.02557544757033248,0.0,0.0,0.001923447634907384,0.0046731478197934995,-0.0027497001848861154,0.4608695652173913,0.5616368286445013
TabPFN,2022-05-23 09:30:00,20,0.05115089514066496,0.05,0.05,-0.0038477858443784255,0.0009536416498166346,-0.00480142749419506,0.5346547314578005,0.5017902813299233
TabPFN,2022-05-23 09:30:00,40,0.10230179028132992,0.125,0.05,-0.004639402980306684,0.001556582994366034,-0.006195985974672718,0.5588235294117647,0.4804347826086957
TabPFN,2022-05-24 09:30:00,10,0.024752475247524754,0.1,0.0,-0.0011125680007670203,0.007993044495049596,-0.009105612495816616,0.5249999999999999,0.6467821782178218
TabPFN,2022-05-24 09:30:00,20,0.04950495049504951,0.15,0.05,0.0034251920083646107,0.0062836410295652925,-0.0028584490212006817,0.43329207920792073,0.6224009900990098
TabPFN,2022-05-24 09:30:00,40,0.09900990099009901,0.175,0.15,0.0009218956974630963,0.0012615044156129508,-0.0003396087181498545,0.45575495049504944,0.5144183168316832
TabPFN,2022-05-25 09:30:00,10,0.024271844660194174,0.2,0.1,0.009586584839508625,-0.004266532005817261,0.013853116845325884,0.44199029126213596,0.458252427184466
TabPFN,2022-05-25 09:30:00,20,0.04854368932038835,0.15,0.1,0.00212685016507369,-0.0013439431893814344,0.0034707933544551243,0.5063106796116504,0.4802184466019418
TabPFN,2022-05-25 09:30:00,40,0.0970873786407767,0.125,0.175,-0.0006918222599950972,-0.0036147645107245776,0.00292294225072948,0.5053398058252426,0.3981796116504854
TabPFN,2022-05-26 09:30:00,10,0.023809523809523808,0.0,0.0,-0.005666587887292904,0.004691929297154988,-0.010358517184447892,0.5497619047619048,0.5507142857142857
TabPFN,2022-05-26 09:30:00,20,0.047619047619047616,0.05,0.1,-0.0066749458879697245,0.0004457447118668227,-0.0071206905998365475,0.5592857142857143,0.4651190476190476
TabPFN,2022-05-26 09:30:00,40,0.09523809523809523,0.05,0.15,-0.0051363553547386365,0.004012288527304083,-0.00914864388204272,0.534702380952381,0.5156547619047618
TabPFN,2022-05-27 09:30:00,10,0.025839793281653745,0.1,0.2,0.003284041420782882,-0.014133693227569735,0.01741773464835262,0.5116279069767442,0.2521963824289406
TabPFN,2022-05-27 09:30:00,20,0.05167958656330749,0.05,0.15,-0.0027075189802942775,-0.008702491536512319,0.0059949725562180416,0.5425064599483204,0.3297157622739018
TabPFN,2022-05-27 09:30:00,40,0.10335917312661498,0.15,0.125,-0.0011393272832112178,-0.004537794513831438,0.00339846723062022,0.5302971576227391,0.33850129198966405
TabPFN,2022-05-30 09:30:00,10,0.02457002457002457,0.1,0.1,-0.011861721316676538,-0.011397354434779282,-0.00046436688189725565,0.6361179361179361,0.33415233415233414
TabPFN,2022-05-30 09:30:00,20,0.04914004914004914,0.05,0.1,-0.0116081479086976,-0.010691679285016008,-0.0009164686236815926,0.6305896805896806,0.33906633906633904
TabPFN,2022-05-30 09:30:00,40,0.09828009828009827,0.1,0.15,-0.005970954906692543,-0.0076513850889304265,0.0016804301822378838,0.4947788697788698,0.3774570024570024
TabPFN,2022-05-31 09:30:00,10,0.02481389578163772,0.0,0.1,-0.008002172447071814,0.009470006693922232,-0.017472179140994047,0.5985111662531017,0.6799007444168735
TabPFN,2022-05-31 09:30:00,20,0.04962779156327544,0.05,0.15,-0.0019111733787411291,-0.0009858320548510797,-0.0009253413238900494,0.501240694789082,0.4497518610421836
TabPFN,2022-05-31 09:30:00,40,0.09925558312655088,0.15,0.125,0.0029770030003773698,-0.00015399524536968134,0.003130998245747051,0.42382133995037224,0.44714640198511174
TabPFN,2022-06-01 09:30:00,10,0.02444987775061125,0.1,0.0,-0.008272699038846013,-0.003808031212013352,-0.004464667826832661,0.523960880195599,0.4963325183374082
TabPFN,2022-06-01 09:30:00,20,0.0488997555012225,0.2,0.05,0.006353137521489634,0.004745341564036961,0.0016077959574526722,0.4233496332518338,0.5754278728606357
TabPFN,2022-06-01 09:30:00,40,0.097799511002445,0.275,0.1,0.002633403108327244,-0.0012241223691702038,0.003857525477497448,0.43618581907090465,0.4566625916870416
TabPFN,2022-06-02 09:30:00,10,0.02493765586034913,0.3,0.1,0.020508736725315026,0.0005929024348720002,0.019915834290443028,0.35411471321695764,0.512718204488778
TabPFN,2022-06-02 09:30:00,20,0.04987531172069826,0.35,0.15,0.018764179749971438,-0.004848889839006725,0.023613069588978162,0.306857855361596,0.4276807980049876
TabPFN,2022-06-02 09:30:00,40,0.09975062344139651,0.3,0.225,0.008093507389937166,-0.007079588620570752,0.015173096010507918,0.4054239401496259,0.3900872817955113
TabPFN,2022-06-06 09:30:00,10,0.02457002457002457,0.1,0.1,-0.014808121227233953,-0.010846060633265032,-0.003962060593968921,0.6695331695331695,0.3324324324324324
