model,previous_date,date,k,common_assets,cross_date_rank_spearman,mean_absolute_rank_migration,top_overlap_fraction,bottom_overlap_fraction,top_jaccard,bottom_jaccard
FinPFN,2022-03-22 09:30:00,2022-03-23 09:30:00,20,258,0.09731819025095652,0.31875471566086183,0.0,0.15,0.0,0.08108108108108109
FinPFN,2022-03-22 09:30:00,2022-03-23 09:30:00,40,258,0.09731819025095652,0.31875471566086183,0.05,0.175,0.02564102564102564,0.0958904109589041
FinPFN,2022-03-23 09:30:00,2022-03-24 09:30:00,10,256,0.14334658960860605,0.29160321186664323,0.0,0.0,0.0,0.0
FinPFN,2022-03-23 09:30:00,2022-03-24 09:30:00,20,256,0.14334658960860605,0.29160321186664323,0.0,0.15,0.0,0.08108108108108109
FinPFN,2022-03-23 09:30:00,2022-03-24 09:30:00,40,256,0.14334658960860605,0.29160321186664323,0.05,0.175,0.02564102564102564,0.0958904109589041
FinPFN,2022-03-24 09:30:00,2022-03-25 09:30:00,10,253,0.12607095061733883,0.3020729690439546,0.0,0.2,0.0,0.1111111111111111
FinPFN,2022-03-24 09:30:00,2022-03-25 09:30:00,20,253,0.12607095061733883,0.3020729690439546,0.0,0.1,0.0,0.05263157894736842
FinPFN,2022-03-24 09:30:00,2022-03-25 09:30:00,40,253,0.12607095061733883,0.3020729690439546,0.025,0.075,0.012658227848101266,0.03896103896103896
FinPFN,2022-03-25 09:30:00,2022-03-28 09:30:00,10,254,0.16476263531462193,0.29832007774846786,0.1,0.4,0.05263157894736842,0.25
FinPFN,2022-03-25 09:30:00,2022-03-28 09:30:00,20,254,0.16476263531462193,0.29832007774846786,0.1,0.25,0.05263157894736842,0.14285714285714285
FinPFN,2022-03-25 09:30:00,2022-03-28 09:30:00,40,254,0.16476263531462193,0.29832007774846786,0.1,0.2,0.05263157894736842,0.1111111111111111
FinPFN,2022-03-28 09:30:00,2022-03-29 09:30:00,10,267,0.13782296593403684,0.29656692601214585,0.0,0.0,0.0,0.0
FinPFN,2022-03-28 09:30:00,2022-03-29 09:30:00,20,267,0.13782296593403684,0.29656692601214585,0.05,0.05,0.02564102564102564,0.02564102564102564
FinPFN,2022-03-28 09:30:00,2022-03-29 09:30:00,40,267,0.13782296593403684,0.29656692601214585,0.1,0.1,0.05263157894736842,0.05263157894736842
FinPFN,2022-03-29 09:30:00,2022-03-30 09:30:00,10,271,0.24079359911246173,0.27814876834150265,0.0,0.4,0.0,0.25
FinPFN,2022-03-29 09:30:00,2022-03-30 09:30:00,20,271,0.24079359911246173,0.27814876834150265,0.1,0.2,0.05263157894736842,0.1111111111111111
FinPFN,2022-03-29 09:30:00,2022-03-30 09:30:00,40,271,0.24079359911246173,0.27814876834150265,0.1,0.175,0.05263157894736842,0.0958904109589041
FinPFN,2022-03-30 09:30:00,2022-03-31 09:30:00,10,260,0.2798992247268109,0.27503873729548023,0.0,0.2,0.0,0.1111111111111111
FinPFN,2022-03-30 09:30:00,2022-03-31 09:30:00,20,260,0.2798992247268109,0.27503873729548023,0.0,0.2,0.0,0.1111111111111111
FinPFN,2022-03-30 09:30:00,2022-03-31 09:30:00,40,260,0.2798992247268109,0.27503873729548023,0.05,0.225,0.02564102564102564,0.1267605633802817
FinPFN,2022-03-31 09:30:00,2022-04-01 09:30:00,10,268,0.144960216253015,0.3028760898477908,0.0,0.2,0.0,0.1111111111111111
FinPFN,2022-03-31 09:30:00,2022-04-01 09:30:00,20,268,0.144960216253015,0.3028760898477908,0.0,0.15,0.0,0.08108108108108109
FinPFN,2022-03-31 09:30:00,2022-04-01 09:30:00,40,268,0.144960216253015,0.3028760898477908,0.075,0.175,0.03896103896103896,0.0958904109589041
FinPFN,2022-04-01 09:30:00,2022-04-06 09:30:00,10,263,0.12900974450041292,0.29782577028048757,0.1,0.1,0.05263157894736842,0.05263157894736842
FinPFN,2022-04-01 09:30:00,2022-04-06 09:30:00,20,263,0.12900974450041292,0.29782577028048757,0.1,0.15,0.05263157894736842,0.08108108108108109
FinPFN,2022-04-01 09:30:00,2022-04-06 09:30:00,40,263,0.12900974450041292,0.29782577028048757,0.1,0.225,0.05263157894736842,0.1267605633802817
FinPFN,2022-04-06 09:30:00,2022-04-07 09:30:00,10,253,0.10338925025676139,0.3058850300322386,0.0,0.1,0.0,0.05263157894736842
FinPFN,2022-04-06 09:30:00,2022-04-07 09:30:00,20,253,0.10338925025676139,0.3058850300322386,0.0,0.15,0.0,0.08108108108108109
FinPFN,2022-04-06 09:30:00,2022-04-07 09:30:00,40,253,0.10338925025676139,0.3058850300322386,0.0,0.25,0.0,0.14285714285714285
FinPFN,2022-04-07 09:30:00,2022-04-08 09:30:00,10,259,0.09521898591666034,0.30443263069209486,0.0,0.0,0.0,0.0
