model,seed,date,portfolio,gross_return_decimal,turnover_one_way,cost_rate_bps_per_one_way_turnover,transaction_cost_decimal,net_return_decimal,gross_compounded_wealth,net_compounded_wealth
FinPFN,42,2022-10-10 09:30:00,short,-0.007857509640826212,0.9024390243902445,2,0.0001804878048780489,-0.008037997445704262,1.2100793543136192,1.1725749962272338
FinPFN,42,2022-10-11 09:30:00,short,-0.0059823655665143536,0.8292682926829267,2,0.00016585365853658533,-0.006148219225050939,1.2028402172516235,1.1653657480926156
FinPFN,42,2022-10-12 09:30:00,short,-0.0008074273156708261,0.7249999999999994,2,0.0001449999999999999,-0.0009524273156708259,1.201869011203827,1.164255821921385
FinPFN,42,2022-10-13 09:30:00,short,-0.002063191215826053,0.8536585365853653,2,0.00017073170731707305,-0.002233922923143126,1.1993893256173378,1.161654964152392
FinPFN,42,2022-10-14 09:30:00,short,-0.00181468808756236,0.9024390243902445,2,0.0001804878048780489,-0.001995175892440409,1.1972128080957907,1.1593372581725814
FinPFN,42,2022-10-17 09:30:00,short,-0.004716916658663222,0.8780487804878045,2,0.0001756097560975609,-0.0048925264147607825,1.1915656550573186,1.1536651700133558
FinPFN,42,2022-10-18 09:30:00,short,-0.001331479935854582,0.8536585365853653,2,0.00017073170731707305,-0.001502211643171655,1.1899791092953564,1.15193212076264
FinPFN,42,2022-10-19 09:30:00,short,0.001841802188914996,0.8536585365853664,2,0.00017073170731707327,0.0016710704815979228,1.19217081542362,1.153857080526451
FinPFN,42,2022-10-20 09:30:00,short,0.00037229391143094503,0.9268292682926835,2,0.0001853658536585367,0.00018692805777240833,1.1926146533595878,1.1540727687894607
FinPFN,42,2022-10-21 09:30:00,short,0.009483227822970248,0.9024390243902438,2,0.00018048780487804877,0.009302740018092198,1.2039244898224093,1.164808807719469
FinPFN,42,2022-10-24 09:30:00,short,0.000698869576622966,0.8333333333333325,2,0.0001666666666666665,0.0005322029099562995,1.2047658760208975,1.16542872235648
FinPFN,42,2022-10-25 09:30:00,short,-0.004446180653151588,0.857142857142857,2,0.0001714285714285714,-0.004617609224580159,1.199409269291356,1.160047227937536
FinPFN,42,2022-10-26 09:30:00,short,0.0070217717939108845,0.7804878048780493,2,0.00015609756097560986,0.006865674232935275,1.2078312474678214,1.1680117342993748
FinPFN,42,2022-10-27 09:30:00,short,-0.006164821412879257,0.9268292682926826,2,0.00018536585365853652,-0.006350187266537794,1.2003851835302872,1.1605946410570602
FinPFN,42,2022-10-28 09:30:00,short,-0.006953399782662635,0.8249999999999991,2,0.0001649999999999998,-0.007118399782662635,1.1920384254560163,1.1523330644164003
FinPFN,42,2022-10-31 09:30:00,short,-0.003156256226850161,0.7999999999999992,2,0.00015999999999999982,-0.003316256226850161,1.1882760467530262,1.148511632716124
FinPFN,42,2022-11-01 09:30:00,short,0.010435198599529539,0.8749999999999989,2,0.00017499999999999978,0.010260198599529539,1.2006759432919578,1.1602955901616614
FinPFN,42,2022-11-02 09:30:00,short,0.003515892104239205,0.9512195121951215,2,0.0001902439024390243,0.003325648201800181,1.204897390360728,1.1641543251046393
FinPFN,42,2022-11-03 09:30:00,short,0.008478694599022658,0.9268292682926826,2,0.00018536585365853652,0.008293328745364122,1.2151133473567561,1.1738090396330696
FinPFN,42,2022-11-04 09:30:00,short,0.0012843575879181329,0.9268292682926826,2,0.00018536585365853652,0.0010989917342595964,1.2166739874046144,1.1750990460652255
FinPFN,42,2022-11-07 09:30:00,short,0.001181404445024024,0.8048780487804876,2,0.00016097560975609753,0.0010204288352679265,1.2181113714614793,1.1762981510161263
FinPFN,42,2022-11-08 09:30:00,short,-0.006392092345857814,0.7749999999999994,2,0.00015499999999999986,-0.006547092345857814,1.210325091087558,1.168596818395162
FinPFN,42,2022-11-09 09:30:00,short,-0.00114934958205802,0.8536585365853653,2,0.00017073170731707305,-0.0013200812893750932,1.2089340044499621,1.1670541756003754
FinPFN,42,2022-11-10 09:30:00,short,-0.0028167190207578057,0.9024390243902436,2,0.0001804878048780487,-0.0029972068256358545,1.2055287770447871,1.1635562728593791
FinPFN,42,2022-11-11 09:30:00,short,0.003017068020220743,0.7999999999999993,2,0.00015999999999999985,0.002857068020220743,1.2091659393654648,1.1668806322762928
FinPFN,42,2022-11-14 09:30:00,short,-0.0011259817614616941,0.8249999999999992,2,0.00016499999999999984,-0.001290981761461694,1.2078044405711585,1.1653742106622211
FinPFN,42,2022-11-15 09:30:00,short,-0.001561414856459877,0.8048780487804872,2,0.00016097560975609744,-0.0017223904662159745,1.2059185567739525,1.1633669812322025
FinPFN,42,2022-11-16 09:30:00,short,0.003021893626159638,0.8292682926829267,2,0.00016585365853658533,0.0028560399676230528,1.2095627143743355,1.1666896038276144
FinPFN,42,2022-11-17 09:30:00,short,-0.002654341055800606,0.8749999999999989,2,0.00017499999999999978,-0.002829341055800606,1.206352122402006,1.1633886410321292
FinPFN,42,2022-11-18 09:30:00,short,0.006597904731454845,0.7804878048780486,2,0.00015609756097560972,0.006441807170479236,1.2143115187782028,1.1708829663219842
FinPFN,42,2022-11-21 09:30:00,short,-0.003868321615400294,0.8536585365853664,2,0.00017073170731707327,-0.0040390533227173675,1.2096141712822834,1.1661537075863482
FinPFN,42,2022-11-22 09:30:00,short,0.0034843417397901837,0.8780487804878048,2,0.00017560975609756096,0.0033087319836926227,1.2138288804283242,1.170012197656541
FinPFN,42,2022-11-23 09:30:00,short,0.005958850241304587,0.8249999999999992,2,0.00016499999999999984,0.005793850241304587,1.221061904945367,1.1767910731102627
FinPFN,42,2022-11-24 09:30:00,short,-0.0029628469842390283,0.849999999999999,2,0.0001699999999999998,-0.003132846984239028,1.2174440853627306,1.1731043667457899
FinPFN,42,2022-11-25 09:30:00,short,0.007077109669558586,0.8249999999999991,2,0.0001649999999999998,0.006912109669558586,1.226060070671398,1.1812129927825747
FinPFN,42,2022-11-28 09:30:00,short,0.001357943648160047,0.9024390243902436,2,0.0001804878048780487,0.0011774558432819983,1.227724991156629,1.1826038189230872
FinPFN,42,2022-11-29 09:30:00,short,0.006116850666428015,0.8536585365853664,2,0.00017073170731707327,0.005946118959110942,1.2352348015869756,1.189635721911903
FinPFN,42,2022-11-30 09:30:00,short,0.0010864359217037781,0.8780487804878043,2,0.00017560975609756086,0.0009108261656062173,1.2365768050471584,1.19071927325496
FinPFN,42,2022-12-01 09:30:00,short,0.008921438432546823,0.8536585365853653,2,0.00017073170731707305,0.00875070672522975,1.2476088488805022,1.201138908407293
