model,seed,portfolio,cost_rate_bps_per_one_way_turnover,n_periods,average_turnover_one_way_including_initial,gross_mean_return_decimal,gross_annualized_volatility_decimal,gross_sharpe,gross_cumulative_arithmetic_return_decimal,gross_terminal_compounded_wealth,gross_maximum_drawdown,net_mean_return_decimal,net_annualized_volatility_decimal,net_sharpe,net_cumulative_arithmetic_return_decimal,net_terminal_compounded_wealth,net_maximum_drawdown,net_sharpe_rank
FinPFN,42,long,30,301,0.9181505358923157,0.0004643465715162818,0.047095252263277036,2.366335709190085,0.13976831802640083,1.1483793964322342,-0.02982832316369155,-0.002290105036160666,0.047023049256261454,-11.688421260885658,-0.6893216158843604,0.5008244282696018,-0.5014316175086087,3
FinPFN,42,long_short,30,301,1.7829807915323694,0.0014792448418651423,0.08098870539504897,4.383558921159607,0.4452526974014078,1.554008422815,-0.0339313568636177,-0.0038696975327319667,0.08104794654295105,-11.458987518746037,-1.164778957352322,0.3100026411381183,-0.6907372848112849,3
FinPFN,42,short,30,301,0.8648302556400537,0.0010148982703488602,0.06531279397706964,3.7293701593786097,0.30548437937500694,1.353467155541227,-0.033520521425092986,-0.0015795924965713005,0.0654053918216349,-5.796191852362118,-0.4754573414679614,0.6197032101102731,-0.3802967898897269,3
LightGBM,42,long,30,301,0.7649698500769382,0.0006563634882545558,0.0611848525254515,2.5746117001028264,0.1975654099646213,1.2155109081783237,-0.01984762791942174,-0.0016385460619762584,0.06114215878617709,-6.431749592773743,-0.4932023646548538,0.6089918325955226,-0.39264665476570615,2
LightGBM,42,long_short,30,301,1.5516270498384996,0.0018092565532312518,0.09026800648095357,4.81035961359267,0.5445862225226068,1.7143221426412323,-0.039839235738240886,-0.0028456245962842465,0.09007953302369874,-7.581632366239555,-0.8565330034815583,0.4219551928793063,-0.5780448071206937,2
LightGBM,42,short,30,301,0.7866571997615615,0.0011528930649766958,0.0655621620559956,4.220335738136378,0.34702081255798545,1.410775556714618,-0.029524740785727643,-0.0012070785343079884,0.06541284375323698,-4.428776240439498,-0.3633306388267045,0.6933421105980341,-0.3136326436950201,2
Ridge,42,long,30,301,0.729183252225294,0.0005544671857651703,0.062041638360537575,2.144884114928261,0.16689462291531626,1.1787379344847986,-0.03372264486296972,-0.0016330825709107118,0.06206103666724745,-6.3153926854305364,-0.49155785384412426,0.609951588813921,-0.39401506347753235,1
Ridge,42,long_short,30,301,1.4788131854046738,0.0018756315563346615,0.09207526414530302,4.888952290269178,0.5645650984567331,1.7484930986489537,-0.05030716084696407,-0.0025608079998793594,0.09198937579875176,-6.681140236407453,-0.7708032079636872,0.4597326651883722,-0.5450143841736181,1
Ridge,42,short,30,301,0.7496299331793796,0.001321164370569491,0.0660511769099694,4.800511720917113,0.39767047554141677,1.4839224561789486,-0.026197844270593018,-0.0009277254289686477,0.06625578098963214,-3.360523408324428,-0.27924535411956297,0.7541807582651534,-0.2611895613096118,1
TabPFN,42,long,30,301,0.9108361188323566,-0.001218170662615934,0.06501854119054531,-4.496578263283735,-0.36666936944739614,0.6910517280625416,-0.32148085597408604,-0.003950679019113004,0.06477414704995607,-14.637984562820483,-1.1891543847530142,0.30296080436323203,-0.6972337536539674,4
TabPFN,42,long_short,30,301,1.8271595772286087,-0.001940797037359147,0.08970172641590679,-5.192668051967354,-0.5841799082451032,0.5544418872897383,-0.4655750017397804,-0.0074222757690449725,0.08932778247028575,-19.941681471420672,-2.2341050064825367,0.10566342983101741,-0.8948664052427445,4
TabPFN,42,short,30,301,0.916323458396252,-0.0007226263747432129,0.05914429704506531,-2.932325492113381,-0.21751053879770707,0.802696672892551,-0.22043154617578564,-0.0034715967499319685,0.05912562543314881,-14.09174471948246,-1.0449506217295226,0.35029886912257946,-0.6515478993659269,4
FinPFN,42,long,50,301,0.9181505358923157,0.0004643465715162818,0.047095252263277036,2.366335709190085,0.13976831802640083,1.1483793964322342,-0.02982832316369155,-0.004126406107945298,0.04702068848181897,-21.061738946884958,-1.2420482384915346,0.28765010590834933,-0.7123498940916506,3
FinPFN,42,long_short,50,301,1.7829807915323694,0.0014792448418651423,0.08098870539504897,4.383558921159607,0.4452526974014078,1.554008422815,-0.0339313568636177,-0.007435659115796705,0.08115603170874552,-21.98922434004252,-2.2381333938548083,0.10532834330317152,-0.8946716566968285,3
FinPFN,42,short,50,301,0.8648302556400537,0.0010148982703488602,0.06531279397706964,3.7293701593786097,0.30548437937500694,1.353467155541227,-0.033520521425092986,-0.0033092530078514077,0.06551375367163793,-12.122961628256848,-0.9960851553632737,0.36771887237778944,-0.6322811276222106,3
LightGBM,42,long,50,301,0.7649698500769382,0.0006563634882545558,0.0611848525254515,2.5746117001028264,0.1975654099646213,1.2155109081783237,-0.01984762791942174,-0.003168485762130135,0.06121247037871634,-12.42290301643564,-0.9537142144011707,0.38381889425347904,-0.616181105746521,2
LightGBM,42,long_short,50,301,1.5516270498384996,0.0018092565532312518,0.09026800648095357,4.81035961359267,0.5445862225226068,1.7143221426412323,-0.039839235738240886,-0.0059488786959612456,0.09009174819294888,-15.847521173336958,-1.790612487484335,0.16511799165980773,-0.8348820083401922,2
LightGBM,42,short,50,301,0.7866571997615615,0.0011528930649766958,0.0655621620559956,4.220335738136378,0.34702081255798545,1.410775556714618,-0.029524740785727643,-0.002780392933831111,0.0653880658551422,-10.20513904781586,-0.8368982730831644,0.43138605609898406,-0.5702011840405747,2
Ridge,42,long,50,301,0.729183252225294,0.0005544671857651703,0.062041638360537575,2.144884114928261,0.16689462291531626,1.1787379344847986,-0.03372264486296972,-0.0030914490753613,0.0621876822805839,-11.930783571240465,-0.9305261716837513,0.3928213234922395,-0.6087201371195989,1
Ridge,42,long_short,50,301,1.4788131854046738,0.0018756315563346615,0.09207526414530302,4.888952290269178,0.5645650984567331,1.7484930986489537,-0.05030716084696407,-0.005518434370688706,0.09210665234757656,-14.379246397615239,-1.6610487455773006,0.1880566726921259,-0.8123251967085762,1
Ridge,42,short,50,301,0.7496299331793796,0.001321164370569491,0.0660511769099694,4.800511720917113,0.39767047554141677,1.4839224561789486,-0.026197844270593018,-0.002426985295327407,0.06648893690500773,-8.760502092412121,-0.7305225738935495,0.4798957547869089,-0.5240925538818519,1
TabPFN,42,long,50,301,0.9108361188323566,-0.001218170662615934,0.06501854119054531,-4.496578263283735,-0.36666936944739614,0.6910517280625416,-0.32148085597408604,-0.005772351256777717,0.06465184685114993,-21.42807002584508,-1.7374777282900928,0.17461814460356082,-0.8253818553964392,4
TabPFN,42,long_short,50,301,1.8271595772286087,-0.001940797037359147,0.08970172641590679,-5.192668051967354,-0.5841799082451032,0.5544418872897383,-0.4655750017397804,-0.011076594923502188,0.08913107455227207,-29.82554395304056,-3.334055071974159,0.03481414096243291,-0.9652058145321993,4
TabPFN,42,short,50,301,0.916323458396252,-0.0007226263747432129,0.05914429704506531,-2.932325492113381,-0.21751053879770707,0.802696672892551,-0.22043154617578564,-0.005304243666724472,0.059149602570554335,-21.522012400597315,-1.596577343684066,0.20128438423465111,-0.7993776535918875,4
