date,decile_1,decile_2,decile_3,decile_4,decile_5,decile_6,decile_7,decile_8,decile_9,decile_10,long_short,model,seed,return_basis
2017-01-31,4.08302243999999,0.39460399999999995,0.37379399999999985,2.70918,0.7242799999999999,2.3996,2.372654,0.8636024399999891,2.839346,8.896424,4.81340156000001,LightGBM,42,raw
2017-02-28,5.9187504399999895,1.226398,1.5799960000000002,0.4732040000000001,1.2446059999999999,1.2681820000000001,1.9024960000000002,0.9466279999999999,2.368852,0.23134,-5.687410439999989,LightGBM,42,raw
2017-03-31,-1.1723271200000218,-0.8514099999999999,2.470696439999989,1.9999124399999892,-0.61205,2.281258,0.842606,-2.088844,2.508106,3.3274179999999998,4.499745120000021,LightGBM,42,raw
2017-04-30,-3.030954,0.1834420000000001,1.04639,1.2460664399999895,1.237934,0.9344540000000001,0.08427599999999984,0.525012,-0.7642939999999999,-5.229278000000001,-2.198324000000001,LightGBM,42,raw
2017-05-31,-6.069946,-2.835929560000011,-3.4344,-0.9840380000000001,1.253106,-0.30111199999999994,-0.2198539999999999,-0.45014400000000004,-2.777362,-2.0686271200000217,4.001318879999978,LightGBM,42,raw
2017-06-30,4.593438879999979,1.3156439999999998,2.00956,1.8391840000000002,1.120498,0.12062800000000001,4.068374,4.486002439999989,4.240086439999989,5.984302439999989,1.3908635600000103,LightGBM,42,raw
2017-07-31,-3.2983559999999996,3.344656439999989,1.650498,0.566506,1.5792164399999893,0.6999299999999999,1.137444,0.23995200000000005,1.966012,1.6673820000000001,4.965738,LightGBM,42,raw
2017-08-31,0.5107084399999892,-1.8527939999999998,0.4942080000000001,-1.531174,0.08464400000000002,-0.5951879999999999,0.5894400000000001,0.9137264399999891,0.2672728799999783,-1.5360915600000107,-2.0467999999999997,LightGBM,42,raw
2017-09-30,4.209598439999989,5.354848439999989,5.33065,6.484846,2.687122,7.982532879999979,7.90838843999999,6.418002,5.817678439999989,9.078984,4.869385560000011,LightGBM,42,raw
2017-10-31,-4.100358,-1.1326335600000106,-3.612954,1.924836,-2.7306019999999993,0.014899999999999967,0.6349619999999999,2.429916,-0.012712000000000008,3.9437104399999896,8.04406843999999,LightGBM,42,raw
